department_name,year,total_pop,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,lon,lat
"Buffalo, NY",1979,383915,1004.64946667882,13.5446648346639,69.0256957920373,510.008725889845,412.070380162276,-78.8783689,42.88644679999999
"Charlotte, NC",1979,300569,826.765235270437,16.6351153977955,38.2607654149297,233.889722493005,537.979631964707,-80.8431267,35.2270869
"Chicago, IL",1979,3060801,908.487680185677,27.9665355571956,54.0708134896715,472.55604006925,353.89429106956,-87.6297982,41.8781136
"Columbus, OH",1979,534052,794.304674451177,12.9200901784845,79.2057702246223,457.820586759342,244.358227288728,-82.99879419999999,39.9611755
"Dallas, TX",1979,882225,1298.19490492788,34.7983790983026,111.422822975998,505.086570886112,646.887131967469,-96.79698789999999,32.7766642
"Denver, CO",1979,486407,1052.20525198034,13.5688836714932,128.698805732648,464.01470373576,445.922858840436,-104.990251,39.7392358
"Detroit, MI",1979,1258924,1669.75925472864,35.9036764729245,108.743657281933,906.567830941343,618.54409003244,-83.0457538,42.331427
"El Paso, TX",1979,413244,543.262576105158,7.98559688706914,42.3478622799121,196.736068763249,296.193048174928,-106.4850217,31.7618778
"Fresno, CA",1979,194849,1014.11862519182,22.068370892332,75.9562533038404,517.836889078209,398.257111917434,-119.7871247,36.7377981
"Houston, TX",1979,1619644,877.723746699892,40.3792438338302,91.4398472750802,574.879417946166,171.025237644816,-95.3698028,29.7604267
"Indianapolis, IN",1979,513877,813.03502589141,17.9031168937314,85.429003438566,399.511945465549,310.190960093563,-86.158068,39.768403
"Kansas City, MO",1979,462914,1283.6077543561,25.7067187425742,94.1859611072467,572.676566273649,591.038508232631,-94.5785667,39.0997265
"Las Vegas, NV",1979,324220,990.068472025168,23.1324409351675,61.0696440688421,583.245944112023,322.620442909136,-115.1398296,36.1699412
"Los Angeles, CA",1979,2863412,1514.69645304273,27.4497697152907,87.5878148167291,714.322633278061,685.336235232652,-118.2436849,34.0522342
"Memphis, TN",1979,682110,848.103678292358,15.1002037794491,103.209159812933,483.792936623125,246.00137807685,-90.0489801,35.1495343
"Miami, FL",1979,362840,1880.99437768713,36.930878624187,71.9325322456179,934.296108477566,837.834858339764,-80.1917902,25.7616798
"Milwaukee, WI",1979,645097,471.091944312251,9.76597317922731,43.8693715828782,246.784592084601,170.672007465544,-87.9064736,43.0389025
"Minneapolis, MN",1979,363899,1071.45114441095,8.24404573796575,89.8600985438267,546.305430902531,427.041569226626,-93.2650108,44.977753
